"file","field","type","units","meaning","missing","source"
"data/cmr_annual_counts.csv","index_no_mark_Mo","integer","dimensionless","Binary inclusion index for Moses downstream likelihood; zero skips years without marking support","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/daylight_boundaries.csv","nautical_twilight_start_datetime","character","ISO8601 America/Toronto","Start of nautical twilight at Campbellton from NRC supplied sunrise/sunset workbook, Quebec clock convention","Not allowed","Coauthor-supplied CHS Campbellton 02175 predictions and NRC light times at Campbellton (48 deg 0.9315 min N, 66 deg 40.3582 min W); authoritative Quebec clock convention"
"data/daylight_boundaries.csv","sunrise_datetime","character","ISO8601 America/Toronto","Sunrise at Campbellton from NRC supplied workbook, Quebec clock convention","Not allowed","Coauthor-supplied CHS Campbellton 02175 predictions and NRC light times at Campbellton (48 deg 0.9315 min N, 66 deg 40.3582 min W); authoritative Quebec clock convention"
"data/daylight_boundaries.csv","sunset_datetime","character","ISO8601 America/Toronto","Sunset at Campbellton from NRC supplied workbook, Quebec clock convention","Not allowed","Coauthor-supplied CHS Campbellton 02175 predictions and NRC light times at Campbellton (48 deg 0.9315 min N, 66 deg 40.3582 min W); authoritative Quebec clock convention"
"data/daylight_boundaries.csv","nautical_twilight_end_datetime","character","ISO8601 America/Toronto","End of nautical twilight at Campbellton from NRC supplied workbook, Quebec clock convention","Not allowed","Coauthor-supplied CHS Campbellton 02175 predictions and NRC light times at Campbellton (48 deg 0.9315 min N, 66 deg 40.3582 min W); authoritative Quebec clock convention"
"data/historical_rst_summary.csv","year","integer","dimensionless","Calendar year; CMR row index t corresponds to 2001+t (2002-2019)","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/historical_rst_summary.csv","kedgwick_marked_n","integer","fish or observations as defined","Trackable fish marked at Kedgwick in the eligible year; only analysis_included years enter Table 2 totals","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/historical_rst_summary.csv","moses_recaptures_n","integer","fish or observations as defined","Unique first downstream recaptures at Moses among Kedgwick-marked fish","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/historical_rst_summary.csv","butters_recaptures_n","integer","fish or observations as defined","Unique first downstream recaptures at Butters among Kedgwick-marked fish","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/historical_rst_summary.csv","both_downstream_rsts_operational","logical","dimensionless","Both downstream traps have annual operation records; executed eligibility rule","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/historical_rst_summary.csv","first_marking_date","character","YYYY-MM-DD","First eligible Kedgwick marking date in the year","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/historical_rst_summary.csv","last_marking_date","character","YYYY-MM-DD","Last eligible Kedgwick marking date in the year","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/historical_rst_summary.csv","analysis_included","logical","dimensionless","Positive downstream recapture total; FALSE for eligible zero-recapture years retained in the input","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","edge_id","character","dimensionless","Unique allowed network connection key","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","from_node","character","dimensionless","Upstream node_id","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","to_node","character","dimensionless","Downstream node_id","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","marginal_key","character","dimensionless","Draw-wise path probability expression in R/04_state_space_outputs.R; not a realized fish-route frequency","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","transition_parameter","character","dimensionless","Conditional transition parameter governing the edge; not the propagated marginal edge probability","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","complement","logical","dimensionless","TRUE when the conditional edge factor is one minus transition_parameter","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","compulsory","logical","dimensionless","TRUE when conditional transition probability is one; marginal probability can remain below one","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_edges.csv","display_order","integer","dimensionless","Deterministic plotting and matrix ordering, not a scientific measurement","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","node_id","character","dimensionless","Unique Figure 1C state-node key","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","zone_id","integer","dimensionless","Network zone index; receiver_metadata retains the Table 3 zone/channel convention","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","channel_id","integer","dimensionless","Within-zone channel index. Receiver metadata preserves audited Table 3 (D8: zone 3 channel 2); network nodes follow executed model/Figure 1C (D8: Z3_ab_no_dodge, state 3,3). This reporting-label discrepancy awaits author reconciliation; do not infer model connectivity from the Table 3 index","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","state_variable","character","dimensionless","State in the unchanged JAGS model; X_main_up is the known entry node","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","x","integer","dimensionless","Fixed schematic horizontal coordinate; not longitude or river distance","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","y","numeric","dimensionless","Fixed schematic vertical coordinate; not latitude or inferred quantity","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","receiver_label","character","dimensionless","Legacy analytical receiver/array label; receiver_index gives manuscript D numbering","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/network_nodes.csv","display_order","integer","dimensionless","Deterministic plotting and matrix ordering, not a scientific measurement","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","location_id","character","dimensionless","Pooled analytical receiver location or array key; links receiver metadata to fish-location events","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","receiver_label","character","dimensionless","Legacy analytical receiver/array label; receiver_index gives manuscript D numbering","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","display_order","integer","dimensionless","Deterministic plotting and matrix ordering, not a scientific measurement","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","receiver_index","integer","dimensionless","Manuscript receiver index D1-D12; RP1, MM, Rx1, R1a, R1b, R2a, Rx2b, Rx2a, R2b, R3a, R3b, HoT","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","zone_id","integer","dimensionless","Network zone index; receiver_metadata retains the Table 3 zone/channel convention","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","channel_id","integer","dimensionless","Within-zone channel index. Receiver metadata preserves audited Table 3 (D8: zone 3 channel 2); network nodes follow executed model/Figure 1C (D8: Z3_ab_no_dodge, state 3,3). This reporting-label discrepancy awaits author reconciliation; do not infer model connectivity from the Table 3 index","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","is_array","logical","dimensionless","TRUE when source observations pool more than one receiver as an array","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","route_class","character","dimensionless","Direct route-informative location: R2a=Moses, R2b=Butters, Rx2a=Neither; not an inferred cohort route estimate","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","model_observation","character","dimensionless","JAGS binary observation field assembled from detected for the 12 modeled receiver locations","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/receiver_metadata.csv","detection_parameter","character","dimensionless","JAGS receiver-detection probability; p_Rest is HoT","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/segment_distances.csv","segment_id","character","dimensionless","Travel segment identifier; joins long-form calculated travel and speed outputs","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/segment_distances.csv","start_location","character","dimensionless","release or a pooled receiver location identifying the interval start","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/segment_distances.csv","start_event","character","dimensionless","release, first or last event defining the interval start","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/segment_distances.csv","end_location","character","dimensionless","End location; semicolon-separated R3a;R3b uses the maximum last detection over either boundary","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/segment_distances.csv","end_event","character","dimensionless","first or last defining the interval end; island network uses last D10/D11, not first","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/segment_distances.csv","distance_km","numeric","km","Executed travel distance: release-Rx1 101; network 6.355; release-HoT 116.7; HoT-inner 27.8; HoT-outer 108.3; HoT-SoBI 741.5","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/segment_distances.csv","figure_5_included","logical","dimensionless","TRUE only for the three riverine speed distributions ending no farther than HoT","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/tagged_smolt_metadata.csv","fish_id","character","dimensionless","Acoustic transmitter identifier, stored as character; no personal identifier","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/tagged_smolt_metadata.csv","fish_index","integer","dimensionless","1-based fish order in all indexed posterior and model arrays; exactly 1:45","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/tagged_smolt_metadata.csv","release_datetime","character","ISO8601 America/Toronto","Release clock label interpreted as Quebec local time, America/Toronto; ISO8601 with numeric UTC offset","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/tagged_smolt_metadata.csv","fork_length_mm","integer","mm","Fork length at tagging","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/tagged_smolt_metadata.csv","weight_g","numeric","g","Body mass at tagging","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/telemetry_location_events.csv","fish_id","character","dimensionless","Acoustic transmitter identifier, stored as character; no personal identifier","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/telemetry_location_events.csv","location_id","character","dimensionless","Pooled analytical receiver location or array key; links receiver metadata to fish-location events","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/telemetry_location_events.csv","first_detection_datetime","character","ISO8601 America/Toronto","First retained observation at pooled location; ISO8601 America/Toronto preserving recorded UTC instant","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/telemetry_location_events.csv","last_detection_datetime","character","ISO8601 America/Toronto","Last retained observation at pooled location; ISO8601 America/Toronto preserving recorded UTC instant","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/telemetry_location_events.csv","detection_count","integer","fish or observations as defined","Exact number of coauthor-supplied observations used by the executed analysis at fish-location level; no new false-detection filter","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/telemetry_location_events.csv","detected","integer","dimensionless","Integer binary indicator detection_count > 0; zero locations retain explicit rows","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/tide_light_series.csv","datetime","character","ISO8601 America/Toronto","ISO8601 tide instant in America/Toronto; only Figure 2 context window retained, exact duplicated source timestamp collapsed","Not allowed","Coauthor-supplied CHS Campbellton 02175 predictions and NRC light times at Campbellton (48 deg 0.9315 min N, 66 deg 40.3582 min W); authoritative Quebec clock convention"
"data/tide_light_series.csv","tide_height_m","numeric","m","Predicted water height from Canadian Hydrographic Service Campbellton station 02175; supplied prediction datum unchanged","Not allowed","Coauthor-supplied CHS Campbellton 02175 predictions and NRC light times at Campbellton (48 deg 0.9315 min N, 66 deg 40.3582 min W); authoritative Quebec clock convention"
"data/tide_light_series.csv","daylight_state","character","dimensionless","day between sunrise and sunset; nautical_twilight between nautical boundaries outside daylight; night otherwise","Not allowed","Coauthor-supplied CHS Campbellton 02175 predictions and NRC light times at Campbellton (48 deg 0.9315 min N, 66 deg 40.3582 min W); authoritative Quebec clock convention"
"derived-data/published_aggregate_route_diagnostics.csv","quantity","character","dimensionless","Moses, Butters, Neither or Conditional_Moses; aggregate cohort proportions or fish-level binary route states as indicated by file","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","mean","numeric","dimensionless","Pooled posterior arithmetic mean, not a median","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","sd","numeric","dimensionless","Sample posterior SD across retained draws","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","rhat","numeric","dimensionless","coda full-chain R-hat for state-space route quantities; stored R2jags R-hat for CMR archive","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","rhat_upper_95","numeric","dimensionless","Upper 95% confidence limit of the coda potential scale reduction factor; not a posterior CrI","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","ess","numeric","dimensionless","coda effectiveSize for state-space routes; stored R2jags n.eff for CMR","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","mcse","numeric","dimensionless","Monte Carlo standard error of pooled mean from chain-specific AR spectral densities at zero, preserving chain boundaries","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","mcse_over_sd","numeric","dimensionless","Monte Carlo standard error divided by posterior SD","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","chain_1_mean","numeric","dimensionless","Posterior mean within retained chain 1","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","chain_2_mean","numeric","dimensionless","Posterior mean within retained chain 2","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","chain_3_mean","numeric","dimensionless","Posterior mean within retained chain 3","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","chain_mean_range","numeric","dimensionless","Largest chain-specific mean minus smallest","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","constant","logical","dimensionless","TRUE for a value constant in all archived draws; R-hat/ESS then undefined or source placeholders","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_aggregate_route_diagnostics.csv","status","character","dimensionless","PASS when aggregate R-hat <1.01 and ESS >=2900; otherwise FAIL","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_cmr_diagnostics.csv","model","character","dimensionless","original CMR or telemetry-informed split-v2 CMR","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_cmr_diagnostics.csv","parameter","character","dimensionless","Indexed parameter name as monitored in the source fit","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_cmr_diagnostics.csv","variable","character","dimensionless","Unindexed JAGS variable name","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_cmr_diagnostics.csv","year","integer","dimensionless","Calendar year; CMR row index t corresponds to 2001+t (2002-2019)","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_cmr_diagnostics.csv","rhat","numeric","dimensionless","coda full-chain R-hat for state-space route quantities; stored R2jags R-hat for CMR archive","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_cmr_diagnostics.csv","ess","integer","dimensionless","coda effectiveSize for state-space routes; stored R2jags n.eff for CMR","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_cmr_diagnostics.csv","constant","logical","dimensionless","TRUE for a value constant in all archived draws; R-hat/ESS then undefined or source placeholders","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","fish_index","integer","dimensionless","1-based fish order in all indexed posterior and model arrays; exactly 1:45","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","fish_id","character","dimensionless","Acoustic transmitter identifier, stored as character; no personal identifier","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","quantity","character","dimensionless","Moses, Butters, Neither or Conditional_Moses; aggregate cohort proportions or fish-level binary route states as indicated by file","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","mean","numeric","dimensionless","Pooled posterior arithmetic mean, not a median","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","sd","numeric","dimensionless","Sample posterior SD across retained draws","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","rhat","numeric","dimensionless","coda full-chain R-hat for state-space route quantities; stored R2jags R-hat for CMR archive","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","rhat_upper_95","numeric","dimensionless","Upper 95% confidence limit of the coda potential scale reduction factor; not a posterior CrI","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","ess","numeric","dimensionless","coda effectiveSize for state-space routes; stored R2jags n.eff for CMR","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","mcse","numeric","dimensionless","Monte Carlo standard error of pooled mean from chain-specific AR spectral densities at zero, preserving chain boundaries","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","mcse_over_sd","numeric","dimensionless","Monte Carlo standard error divided by posterior SD","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","chain_1_mean","numeric","dimensionless","Posterior mean within retained chain 1","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","chain_2_mean","numeric","dimensionless","Posterior mean within retained chain 2","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","chain_3_mean","numeric","dimensionless","Posterior mean within retained chain 3","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","chain_mean_range","numeric","dimensionless","Largest chain-specific mean minus smallest","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_fish_route_diagnostics.csv","constant","logical","dimensionless","TRUE for a value constant in all archived draws; R-hat/ESS then undefined or source placeholders","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_state_space_diagnostics.csv","parameter","character","dimensionless","Indexed parameter name as monitored in the source fit","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_state_space_diagnostics.csv","saved_rhat","numeric","dimensionless","R-hat stored by R2jags in the published state-space fit","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_state_space_diagnostics.csv","saved_ess","integer","dimensionless","Effective sample size stored by R2jags; not interchangeable with coda ESS","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_state_space_diagnostics.csv","constant","logical","dimensionless","TRUE for a value constant in all archived draws; R-hat/ESS then undefined or source placeholders","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_state_space_diagnostics.csv","scientific_monitor","logical","dimensionless","FALSE only for deviance; TRUE does not imply satisfactory convergence","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_state_space_diagnostics.csv","coda_rhat","numeric","dimensionless","Recomputed full retained-chain coda gelman.diag R-hat with autoburnin=FALSE and multivariate=FALSE","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"derived-data/published_state_space_diagnostics.csv","coda_ess","numeric","dimensionless","Recomputed full retained-chain coda effectiveSize","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_model_input.rds","C_B","numeric length 18","fish","Annual unmarked smolt captures at Butters as supplied to final CMR likelihood; not historical first-recapture subset","NA: structurally excluded observation, unused index slot or model-estimated proportion, according to field definition","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_model_input.rds","C_K","numeric length 18","fish","Annual unmarked smolt captures at Kedgwick as supplied to final CMR likelihood; not historical first-recapture subset","Not allowed","Audited final analysis; source_output_crosswalk.csv"
