"output_id","output_description","manuscript_location","source_script","source_input_files","source_saved_object","required_public_input","public_script","status","notes"
"discharge_spearman","Spearman sensitivity correlations","Main sensitivity results","Script/historical_RST_discharge_screening.R","Output/historical_RST_discharge_screening/annual_discharge_recapture_summary.csv","Not applicable","data/historical_rst_summary.csv; data/annual_discharge_metrics.csv","R/01_historical_recaptures.R","REPRODUCED","Source cor.test uses rank correlation with tied response values; retain exact=FALSE convention."
"discharge_regressions","Unweighted descriptive linear regressions","Main discharge analysis; Figure 4","Script/historical_RST_discharge_screening.R","Output/historical_RST_discharge_screening/annual_discharge_recapture_summary.csv","Not applicable","data/historical_rst_summary.csv; data/annual_discharge_metrics.csv","R/01_historical_recaptures.R","REPRODUCED","Source publication plot uses geom_smooth(method=lm); 2022 excluded from fitting."
"discharge_2022_context","2022 discharge metrics and conditional telemetry comparison","Main discharge results; Figure 4","Script/historical_RST_discharge_screening.R","Output/historical_RST_discharge_screening/discharge_context_2022.csv; Output/M5_aggregate_route_draws.rds","Output/M_5_output.RData","data/annual_discharge_metrics.csv; derived-data/published_state_space_draws.rds","R/01_historical_recaptures.R","REPRODUCED","447.1481481481 m3/s and CV 0.4819984386; window 17 May-12 June based on all 2022 Kedgwick marks plus 7 days."
"telemetry_biology","Tagged-smolt fork length and weight","Main telemetry results; Table 1","Script/1_Explore_raw_data.R","Data/2023_exp/Smolt tagging ASF 2022.xlsx; Output/summary_n_detect_array.csv","Not applicable","data/tagged_smolt_metadata.csv","R/02_telemetry_descriptives.R","REPRODUCED","45 fish; means and SDs reproduce specification. Release timestamps are needed from the workbook; retain explicit source timezone."
"telemetry_receiver_counts","Detection counts by fish and receiver/array","Main telemetry results; Tables 1 and 3","Script/1_Explore_raw_data.R","Data/2023_exp/Smolt tagging ASF 2022.xlsx; Data/DFO - 15 receiver files/*.csv; Data/ASF_detection/ASF_2022/csv/*_edited.csv; Data/ASF_detection/ASF_2022/2022 deployment For Guil.xlsx","Output/summary_n_detect_array.csv; Output/M_5_output.RData","data/telemetry_location_events.csv; data/receiver_metadata.csv","R/02_telemetry_descriptives.R","REPRODUCED","All 12 receiver totals agree with fitted data and current Table 3. MM=38 and HoT=44; older table's 45s are stale. Author confirms coauthor-supplied data used as provided; no additional screening."
"telemetry_travel_speed","Individual and segment travel times and migration speeds","Main telemetry results; Table 1; Figure 5","Script/1_Explore_raw_data.R","Data/2023_exp/Smolt tagging ASF 2022.xlsx; Data/DFO - 15 receiver files/*.csv; Data/ASF_detection/ASF_2022/csv/*_edited.csv; Data/ASF_detection/ASF_2022/2022 deployment For Guil.xlsx","data_fig2-3.Rdata [table_MS]; Output/BCsum_time.csv","data/tagged_smolt_metadata.csv; data/telemetry_location_events.csv; data/receiver_metadata.csv","R/02_telemetry_descriptives.R","REPRODUCED","Table 1 travel cells match source summaries. Release-to-Rx1 101 km; release-to-HoT 116.7 km; network 6.355 km; HoT-to-inner/outer/SoBI 27.8/108.3/741.5 km. Author confirms Quebec time (America/Toronto); Figure 5 ends at HoT."
"telemetry_island_transit","Arrival and departure through island network","Main telemetry results; Figure 2","Script/1_Explore_raw_data.R","Data/2023_exp/Smolt tagging ASF 2022.xlsx; Data/DFO - 15 receiver files/*.csv; Data/ASF_detection/ASF_2022/csv/*_edited.csv; Data/ASF_detection/ASF_2022/2022 deployment For Guil.xlsx; Data/Tide/*.csv; Data/Sun/NRC_sunset_sunrise.xlsx","data_fig2-3.Rdata [time_in_channel; all_tide; dat_sun]","data/telemetry_location_events.csv; data/tide_light_series.csv","R/02_telemetry_descriptives.R","REPRODUCED","Current Figure 2 has 21 tracks using first Rx1 to last R3a/R3b in two date panels. Endpoint summaries suffice. Author accepts last downstream detection and Quebec time; Toronto/Curacao equivalence verified."
"telemetry_direct_routes","Direct route-informative receiver detections","Main route results","Script/1_Explore_raw_data.R; Script/M5_route_postprocessing_helpers.R","Output/summary_From_raw_boolean.csv","Output/M_5_output.RData","data/telemetry_location_events.csv; data/receiver_metadata.csv","R/02_telemetry_descriptives.R","REPRODUCED","R2a supports Moses (2 fish); R2b supports Butters (8); Rx2a supports neither monitored channel (7). Preserve numeric fish lookup."
"state_space_input","45-fish binary detection histories and initial states","State-space Methods","Script/2_generate_data_jags.R","Data/DFO - 15 receiver files/*.csv; Model/inits_M5.xlsx","Output/M_5_output.RData [model$data()]","data/telemetry_location_events.csv; data/tagged_smolt_metadata.csv; data/receiver_metadata.csv; data/state_space_initial_values.rds","R/03_fit_state_space.R","REPRODUCED","Embedded 45x12 observation matrix available. MM pools MM1/MM2; HoT pools REST4/5/6. No separate saved data_inits_jags.Rdata located."
"state_space_fit","Model equations; priors; chains; monitoring and seeds","State-space Methods","Script/3_run_model_M_5.R; Model/M_5.bug","Script/2_generate_data_jags.R; Model/inits_M5.xlsx","Output/M_5_output.RData","data/telemetry_location_events.csv; data/receiver_metadata.csv; data/state_space_initial_values.rds","R/03_fit_state_space.R","INITIALIZATION_VERIFIED","Preserve 9800 burn-in; 350000 total n.iter; thin 100; 3 chains; R seed 20230122. Archive 10200 draws matches manuscript retained total. Author accepts total-iterations wording. Local R2jags overrides chain RNG fields; verify refit interface. Full-chain initialization verified from public inputs; long refits not run. Default reproduction uses published draws/diagnostics. Full-chain initialization verified from public inputs; long refits not run. Default reproduction uses published draws/diagnostics."
"state_space_diagnostics","R-hat and effective sample size for the final monitor set","State-space convergence results","Script/3_run_model_M_5.R","Output/M_5_output.RData","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; derived-data/published_state_space_diagnostics.csv","R/04_state_space_outputs.R","REPRODUCED","Author restricts strong convergence claim to 19 probability parameters. Largest latent-state R-hat=1.082938; saved minimum ESS=1900; two coda R-hat values undefined. Four chain-preserving route aggregates pass R-hat<1.01 and ESS>=2900; fish 35 route summaries stable. Retain latent-state exceptions."
"state_space_detection","Receiver-specific posterior detection probabilities","Main results; Figure 6; Table B1","Script/3_run_model_M_5.R; Script/5_figures_MS.R","Output/M_5_output.RData; Output/M5_p_detect.csv","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/receiver_metadata.csv","R/04_state_space_outputs.R","REPRODUCED","12 independent Beta(1,1) priors; numeric receiver order identified. Author accepts D6/D8 values 21%/71% as medians; means are 28.5%/68.5%."
"state_space_transition","Posterior transition probabilities","Main results; Figure 7; Table B1","Script/3_run_model_M_5.R; Script/5_figures_MS.R","Output/M_5_output.RData; Output/M5_p_travel.csv","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/network_nodes.csv; data/network_edges.csv","R/04_state_space_outputs.R","REPRODUCED","7 independent Beta(1,1) priors; preserve final Z4_b conditional on Z3_b. Author accepts 6%-92% as the median range; means range 8.1%-88.8%."
"state_space_marginal_links","Draw-wise marginal network link probabilities","Figure 1C","Script/1b_network.R","Output/M_5_output.RData","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/network_nodes.csv; data/network_edges.csv","R/04_state_space_outputs.R","REPRODUCED","15 nodes; 20 links; Links$weight/weight_sd use means/SDs of joint-draw path products. Do not use rounded products computed in a legacy block."
"state_space_individual_routes","Individual Moses/Butters/neither probabilities","Main results; Figure 8","Script/M5_route_postprocessing_helpers.R; Script/4_summarize_M5_routes.R","Script/2_generate_data_jags.R; Output/M5_fish_index_lookup.csv","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/tagged_smolt_metadata.csv","R/04_state_space_outputs.R","REPRODUCED","Moses=Z2_a; Butters=Z4_b; neither=Z3_ab_dodge+Z4_ab; exact indexed parameter matching."
"state_space_aggregate_routes","Draw-wise cohort route proportions and credible intervals","Main route results","Script/M5_route_postprocessing_helpers.R","Output/M_5_output.RData","Output/M_5_output.RData","derived-data/published_state_space_draws.rds","R/04_state_space_outputs.R","REPRODUCED","Every fish/draw partitions among 3 routes; means 0.2694836601/0.3216274510/0.4088888889; type-7 equal-tailed intervals."
"state_space_conditional_moses","Draw-wise conditional Moses proportion among inferred Moses-or-Butters use","Main 2022 comparison; Figure 4","Script/historical_RST_discharge_screening.R","Output/M5_aggregate_route_draws.rds","Output/M_5_output.RData","derived-data/published_state_space_draws.rds","R/04_state_space_outputs.R","REPRODUCED","Compute M/(M+B) within each joint draw, then summarize; mean 0.4220780032 and CrI 0.1176470588-0.6285714286."
"cmr_original_fit","Final original M5b CMR comparator","CMR sensitivity Methods","../Model_CMR/2023-07-30_jfb_model/0b_Final_run_case_study.R; ../Model_CMR/2023-07-30_jfb_model/Models/2023-07-30_case_study_M5b.bug","../Model_CMR/2023-07-30_jfb_model/0a_Final_case_study_data_inits_preparation.R","../Model_CMR/2023-07-30_jfb_model/Output/_simulation_coda_R2jags_final_update_2023-07-30_M5b_case_study.RData","data/cmr_model_input.rds; data/cmr_initial_values.rds","R/05_cmr_sensitivity.R","INITIALIZATION_VERIFIED","Exact comparison script selects this archive; 2 chains, 10500000 n.iter, 500000 burn-in, thin 2000; 5000 draws/chain. Full-chain initialization verified from public inputs; long refits not run. Default reproduction uses published draws/diagnostics. Full-chain initialization verified from public inputs; long refits not run. Default reproduction uses published draws/diagnostics."
"cmr_split_fit","Fixed-probability telemetry split v2 CMR fit","CMR sensitivity Methods","../Model_CMR/2023-12-21_jfb_with split from acoustic/0b_Final_run_case_study_split_distribution.R; ../Model_CMR/2023-12-21_jfb_with split from acoustic/Models/2026-06-26_case_study_M5b - split_v2.bug","../Model_CMR/2023-12-21_jfb_with split from acoustic/0a_Final_case_study_data_inits_preparation.R","../Model_CMR/2023-12-21_jfb_with split from acoustic/Output/_simulation_coda_R2jags_final_update_2023-12-21_M5b_case_study_with_split_v2.RData","data/cmr_model_input.rds; data/cmr_initial_values.rds","R/05_cmr_sensitivity.R","INITIALIZATION_VERIFIED","2 chains, 10500000 n.iter, 1000000 burn-in, thin 2000; 4750 draws/chain. Earlier split and split_uncertainty variants are not the final comparator. Full-chain initialization verified from public inputs; long refits not run. Default reproduction uses published draws/diagnostics. Full-chain initialization verified from public inputs; long refits not run. Default reproduction uses published draws/diagnostics."
"cmr_input","Exact data shared by original and split CMR models","CMR sensitivity Methods","../Model_CMR/2023-07-30_jfb_model/0a_Final_case_study_data_inits_preparation.R; ../Model_CMR/2023-12-21_jfb_with split from acoustic/0a_Final_case_study_data_inits_preparation.R","Saved data_pooled and fitted model$data() in each archive","../Model_CMR/2023-07-30_jfb_model/Output/_simulation_coda_R2jags_final_update_2023-07-30_M5b_case_study.RData; ../Model_CMR/2023-12-21_jfb_with split from acoustic/Output/_simulation_coda_R2jags_final_update_2023-12-21_M5b_case_study_with_split_v2.RData","data/cmr_model_input.rds","R/05_cmr_sensitivity.R","REPRODUCED","28 used fields identical byte-for-byte as R objects; T=18 (2002-2019). Drop unused I_tot from saved 29-field data_pooled; field-level dictionary still required in construction."
"cmr_fixed_passage","Fixed Moses/Butters/neither passage probabilities","CMR sensitivity Methods","../Model_CMR/2023-12-21_jfb_with split from acoustic/Models/2026-06-26_case_study_M5b - split_v2.bug","Output/M_5_output.RData","../Model_CMR/2023-12-21_jfb_with split from acoustic/Output/_simulation_coda_R2jags_final_update_2023-12-21_M5b_case_study_with_split_v2.RData","data/cmr_model_input.rds; model/cmr_telemetry_split.jags","R/05_cmr_sensitivity.R","REPRODUCED","Executed constants remain 0.270/0.296/0.434, from rounded products of marginal transition means. Author accepts products-of-means provenance; joint-draw means instead round to 0.270/0.295/0.436."
"cmr_diagnostic_comparison","Original and split convergence comparison","CMR sensitivity results","../Model_CMR/2023-12-21_jfb_with split from acoustic/compare_M5_split_vs_no_split.R","../Model_CMR/2023-07-30_jfb_model/Output/_simulation_coda_R2jags_final_update_2023-07-30_M5b_case_study.RData; ../Model_CMR/2023-12-21_jfb_with split from acoustic/Output/_simulation_coda_R2jags_final_update_2023-12-21_M5b_case_study_with_split_v2.RData","../Model_CMR/2023-07-30_jfb_model/Output/_simulation_coda_R2jags_final_update_2023-07-30_M5b_case_study.RData; ../Model_CMR/2023-12-21_jfb_with split from acoustic/Output/_simulation_coda_R2jags_final_update_2023-12-21_M5b_case_study_with_split_v2.RData","derived-data/published_cmr_diagnostics.csv","R/05_cmr_sensitivity.R","REPRODUCED","Original max R-hat<=1.012 and min ESS>=670 after excluding constants. Each downstream probability flagged in 13/16 years; abundance in 16/18; simultaneous good years 2009 and 2016."
"table_1","Biological characteristics; detections; travel times","Main Table 1","Script/1_Explore_raw_data.R","Data/2023_exp/Smolt tagging ASF 2022.xlsx; Data/DFO - 15 receiver files/*.csv; Data/ASF_detection/ASF_2022/csv/*_edited.csv; Data/ASF_detection/ASF_2022/2022 deployment For Guil.xlsx","Output/BCsum_time.csv; Output/summary_n_detect_array.csv; data_fig2-3.Rdata","data/tagged_smolt_metadata.csv; data/telemetry_location_events.csv; data/receiver_metadata.csv","R/02_telemetry_descriptives.R","REPRODUCED","All 1122 numeric fish/summary cells match current manuscript at displayed precision. Includes 45 fish and 42 summary cells. Quebec release time is confirmed by the author/provider."
"table_2","Annual marks; recaptures; binomial CIs; discharge","Main Table 2","Script/historical_RST_recapture_variability.R; Script/historical_RST_discharge_screening.R","Output/historical_RST_variability_analysis/historical_RST_analysis_scope.csv; Output/historical_RST_discharge_screening/annual_discharge_recapture_summary.csv","Not applicable","data/historical_rst_summary.csv; data/annual_discharge_metrics.csv","R/01_historical_recaptures.R","REPRODUCED","All 110 cells match approved reporting targets. Author confirms the manuscript's 2008 mean discharge is corrected to 304.0 using source 304.032258; issue resolved. Table displays 13 informative years and totals; retain 3 eligible zero-recapture years in curated input."
"table_3","Receiver/zone/channel indices and detected fish","Main Table 3","Script/1_Explore_raw_data.R; Script/5_figures_MS.R; Model/M_5.bug","Output/summary_From_raw_boolean.csv","Output/M_5_output.RData","data/telemetry_location_events.csv; data/receiver_metadata.csv","R/02_telemetry_descriptives.R","REPRODUCED","All 48 cells reproduce the audited Table 3. Additional reporting review: D8 is channel index 2 in this table but Z3_ab_no_dodge / (3,3) in the executed model and Figure 1C. Preserve audited table target pending author reconciliation; no likelihood change."
"figure_1c","Network schematic with posterior marginal link mean and SD","Main Figure 1C","Script/1b_network.R; Script/5_figures_MS.R","Output/M_5_output.RData","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/network_nodes.csv; data/network_edges.csv","R/04_state_space_outputs.R","REPRODUCED","Current image1.png inspected: panel C is the 15-node/20-link schematic with joint-draw link mean and SD, receiver labels and blue arrows. Exclude panels A/B and basemaps."
"figure_2","Smolt arrival/departure; daylight and tide","Main Figure 2","Script/1_Explore_raw_data.R","Data/Tide/predictions_02175_Campbellton_2022-05-24.csv; Data/Tide/predictions_02175_Campbellton_2022-05-30.csv; Data/Sun/NRC_sunset_sunrise.xlsx","data_fig2-3.Rdata","data/telemetry_location_events.csv; data/tide_light_series.csv; data/daylight_boundaries.csv; data/segment_distances.csv","R/02_telemetry_descriptives.R","REPRODUCED","Current image2.png identifies split-panel tide_sun_smolts_split branch: May 25-29 and May 31-June 5, 21 tracks. Yellow/orange/red lines; caption calls first color green. Author confirms Quebec time and eight-hour cutoff; preserve displayed colors. No fish lie between legacy 480/500-minute cutoffs, so classifications agree."
"figure_3","Observed versus empirical-Bayes annual conditional Moses proportions","Main Figure 3","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Not applicable","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","Current image3.png matches fig_annual_Moses_share_beta_binomial_no_title content: observed open and empirical-Bayes filled points, 95% intervals, recap-sized points, mean 68.8% reference."
"figure_4","Conditional Moses proportion versus discharge with 2022 telemetry comparison","Main Figure 4","Script/historical_RST_discharge_screening.R","Output/historical_RST_discharge_screening/fig_Moses_share_vs_discharge_with_2022_data.csv; Output/historical_RST_discharge_screening/annual_discharge_recapture_summary.csv","Output/M_5_output.RData","data/historical_rst_summary.csv; data/annual_discharge_metrics.csv; derived-data/published_state_space_draws.rds","R/01_historical_recaptures.R; R/04_state_space_outputs.R","REPRODUCED","Current image4.png matches publication_figure_base fig_Moses_share_vs_discharge_with_2022_telemetry: stacked mean/CV panels, historical points and binomial CIs, regressions, 2022 diamond and CrI, Pearson annotations; 2022 excluded from fits."
"figure_5","Migration speed by segment","Main Figure 5","Script/1_Explore_raw_data.R","Data/2023_exp/Smolt tagging ASF 2022.xlsx; Data/DFO - 15 receiver files/*.csv; Data/ASF_detection/ASF_2022/csv/*_edited.csv; Data/ASF_detection/ASF_2022/2022 deployment For Guil.xlsx","data_fig2-3.Rdata","data/tagged_smolt_metadata.csv; data/telemetry_location_events.csv; data/segment_distances.csv","R/02_telemetry_descriptives.R","REPRODUCED","Current image5.tiff is the km/day up-to-HoT branch (speed_summaryup_to_HoT_km_day.tif): release-to-Rx1 n=25; island network n=21; release-to-HoT n=44. Author restricts caption to these riverine segments ending at HoT."
"figure_6","Posterior receiver-detection intervals and prior summaries","Main Figure 6","Script/5_figures_MS.R","Output/M_5_output.RData; Output/M5_p_detect.csv","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/receiver_metadata.csv","R/04_state_space_outputs.R","REPRODUCED","Current image6.png matches MS_Fig_p_detect content: 12 receiver medians and 50/95% CrIs, red prior summaries, blue zone bands. Calculate Beta(1,1) prior summaries analytically; Author accepts median labeling."
"figure_7","Posterior transition intervals and prior summaries","Main Figure 7","Script/5_figures_MS.R","Output/M_5_output.RData; Output/M5_p_travel.csv","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/network_nodes.csv","R/04_state_space_outputs.R","REPRODUCED","Current image7.png matches MS_Fig_p_travel content: 7 transition medians and 50/95% CrIs in geographical order, red prior summaries and zone shading. Author accepts median labeling."
"figure_8","Individual Moses/Butters/neither probabilities","Main Figure 8","Script/5_figures_MS.R; Script/M5_route_postprocessing_helpers.R","Output/M5_fish_index_lookup.csv","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/tagged_smolt_metadata.csv","R/04_state_space_outputs.R","REPRODUCED","Current image8.png matches MS_Fig_barplot_channel_loc content: individual stacked probabilities, dark-blue Butters/light-blue Moses/gray neither; preserve route-based fish ordering and numeric lookup."
"table_b1","Detection and transition posterior summaries","Supplementary Material B Table B1","Script/3_run_model_M_5.R","Output/M_5_output.RData; Output/M5_p_detect_travel_MS.csv","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/receiver_metadata.csv","R/04_state_space_outputs.R","REPRODUCED","Current Report/Suppl_matB.docx inspected; all 133 numerical cells match independent posterior mean/SD/quantile calculations."
"figure_b1","Posterior and prior detection-probability distributions","Supplementary Material B Figure B1","Script/3_run_model_M_5.R","Output/M_5_output.RData","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/receiver_metadata.csv","R/04_state_space_outputs.R","REPRODUCED","Current Supplement B image1.png inspected: 3x4 detection histograms with uniform prior; matches Script/3_run_model_M_5.R and Figures/M5_p_detect.png content."
"figure_b2","Posterior and prior transition-probability distributions","Supplementary Material B Figure B2","Script/3_run_model_M_5.R","Output/M_5_output.RData","Output/M_5_output.RData","derived-data/published_state_space_draws.rds; data/network_nodes.csv","R/04_state_space_outputs.R","REPRODUCED","Current Supplement B image2.png inspected: 7 transition histograms in a 2x4 layout with final panel blank; uniform prior; matches Script/3_run_model_M_5.R and Figures/M5_p_travel.png content."
